Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Team
Rodri,es ESP,MF,27.0,34,34,2931.0,32.6,8.0,9.0,17.0,8.0,0.0,0.0,8.0,1.0,4.1,4.1,3.9,8.0,76.0,376.0,55.0,0.25,0.28,0.52,0.25,0.52,0.12,0.12,0.24,0.12,0.24,Manchester City
Phil Foden,eng ENG,"FW,MF",23.0,35,33,2857.0,31.7,19.0,8.0,27.0,19.0,0.0,0.0,2.0,0.0,10.3,10.3,8.4,18.7,93.0,168.0,269.0,0.6,0.25,0.85,0.6,0.85,0.33,0.26,0.59,0.33,0.59,Manchester City
Ederson,br BRA,GK,29.0,33,33,2785.0,30.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.1,0.1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester City
Julián Álvarez,ar ARG,"MF,FW",23.0,36,31,2647.0,29.4,11.0,8.0,19.0,9.0,2.0,2.0,2.0,0.0,13.0,11.5,6.4,17.9,64.0,103.0,180.0,0.37,0.27,0.65,0.31,0.58,0.44,0.22,0.66,0.39,0.61,Manchester City
Kyle Walker,eng ENG,DF,33.0,32,30,2767.0,30.7,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,2.6,3.0,74.0,157.0,172.0,0.0,0.13,0.13,0.0,0.13,0.01,0.09,0.1,0.01,0.1,Manchester City
Bernardo Silva,pt POR,"MF,FW",28.0,33,29,2578.0,28.6,6.0,9.0,15.0,6.0,0.0,0.0,8.0,0.0,3.7,3.7,7.6,11.3,140.0,177.0,260.0,0.21,0.31,0.52,0.21,0.52,0.13,0.27,0.4,0.13,0.4,Manchester City
Erling Haaland,no NOR,FW,23.0,31,29,2552.0,28.4,27.0,5.0,32.0,20.0,7.0,8.0,1.0,0.0,29.2,22.9,4.3,27.2,35.0,26.0,126.0,0.95,0.18,1.13,0.71,0.88,1.03,0.15,1.18,0.81,0.96,Manchester City
Rúben Dias,pt POR,DF,26.0,30,28,2559.0,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.3,1.7,34.0,173.0,16.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Manchester City
Manuel Akanji,ch SUI,"DF,MF",28.0,30,28,2511.0,27.9,2.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,1.9,1.9,0.5,2.4,46.0,148.0,36.0,0.07,0.0,0.07,0.07,0.07,0.07,0.02,0.09,0.07,0.09,Manchester City
Joško Gvardiol,hr CRO,DF,21.0,28,26,2328.0,25.9,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,3.1,3.1,1.4,4.5,63.0,136.0,115.0,0.15,0.04,0.19,0.15,0.19,0.12,0.06,0.18,0.12,0.18,Manchester City
